order_num,asset_code,site_name,wo_status,owner_initials,prio,amount,modified_on,comments
10482,PMP-NPL-04B-HTX-PRIMARY-CIRCULATION-SKID-A12,North Plant,Ready,JR,High,2847.50,2026-05-28,Mechanical circulation skid
10479,CNV-DCK-07-OUTBOUND-SORTATION-LINE-BELT-DRIVE,,In Progress,SC,Medium,12990,28.05.2026,Electrical belt drive
10471,BLR-SYD-02-STEAM-GENERATION-HEADER-MANIFOLD,South Yard,Blocked,MO,Critical,4560,2026-05-27,Safety hold on steam header
10465,CHL-NPL-C4-PROCESS-CHILLED-WATER-LOOP,North Plant,Ready,,Low,456.25,2026-05-27,HVAC chilled water
10458,FLT-WHB-09-ELECTRIC-COUNTERBALANCE-TRUCK,Warehouse B,Closed,LK,Medium,,2026-05-26,Fleet counterbalance truck
10452,CMP-DCK-X1-HIGH-PRESSURE-AIR-COMPRESSOR-RACK,Dock 3,In Progress,JR,High,7823.99,2026-05-26,Mechanical compressor
10448,GEN-NPL-03B-BACKUP-DIESEL-GENERATOR-SET,North Plant,Ready,TN,High,15420,2026-05-25,Electrical generator
10445,PMP-SYD-01-COOLING-TOWER-FAN-MOTOR,South Yard,Ready,AP,Medium,892,2026-05-25,Mechanical cooling tower
10440,VLV-NPL-12-STEAM-TRAP-ASSEMBLY,North Plant,Blocked,KW,High,1240.50,2026-05-24,Plumbing steam trap
10438,CNV-DCK-02-INBOUND-DIVERter-MOTOR,Dock 3,In Progress,SC,Medium,3450,2026-05-24,Electrical diverter
10435,BLR-WHB-01-BOILER-FEED-PUMP,Warehouse B,Ready,JR,High,5678.25,2026-05-23,Mechanical boiler feed
10430,FLT-NPL-05-PROPANE-FORKLIFT,North Plant,Closed,MO,Low,,2026-05-22,Fleet propane forklift
10428,CHL-DCK-03-CHILLER-CONDENSER-COIL,Dock 3,Ready,LK,Medium,2890,2026-05-22,HVAC chiller coil
10425,PMP-SYD-04-HOT-WATER-CIRC-PUMP,South Yard,Ready,TN,Medium,675,2026-05-21,Mechanical pump seal leak North Plant
10422,GEN-DCK-01-PORTABLE-GENERATOR,Dock 3,In Progress,AP,High,11200,2026-05-21,Electrical portable gen
10418,VLV-WHB-03-BALL-VALVE-ACTUATOR,Warehouse B,Ready,KW,Low,445.99,2026-05-20,Plumbing ball valve
10415,CNV-NPL-08-SORTATION-SCANNER,North Plant,Ready,SC,Medium,1890,2026-05-20,Electrical scanner
10412,BLR-DCK-05-STEAM-HEADER,Dock 3,Blocked,JR,Critical,8900,2026-05-19,Safety pressure relief failed
10408,FLT-SYD-02-REACH-TRUCK,South Yard,Closed,LK,Medium,,2026-05-19,Fleet reach truck
10405,CHL-WHB-02-AHU-FAN-BELT,Warehouse B,Ready,MO,Low,234.50,2026-05-18,HVAC AHU belt
10402,PMP-DCK-09-RAW-WATER-BOOSTER,Dock 3,In Progress,TN,High,4567,2026-05-18,Mechanical raw water booster
10400,GEN-NPL-03B-BACKUP-DIESEL-GENERATOR-SET,North Plant,Ready,T. Nguyen,High,15420,2026-05-25,Electrical - possible duplicate of WO-10448
